time,mnvel,errvel,tel,svalue
2453501.68463428,19141.4732544113,0.5144530229072,HARPS-B,nodata
2453501.68851162,19142.4694193586,0.4499756210045,HARPS-B,nodata
2453501.69216904,19142.6522179063,0.5480042776895,HARPS-B,nodata
2453502.69327301,19141.3667488377,0.2431773706112,HARPS-B,nodata
2453502.69712719,19141.7840704862,0.2312360002054,HARPS-B,nodata
2453502.70084248,19142.1885546749,0.214042838634,HARPS-B,nodata
2453503.69717634,19142.4470085168,0.2723761669621,HARPS-B,nodata
2453503.70101894,19142.0772570082,0.2681197702935,HARPS-B,nodata
2453503.70484997,19142.5332928536,0.2354604232324,HARPS-B,nodata
2453504.70942301,19142.7295632836,0.3885915374128,HARPS-B,nodata
2453504.71325403,19142.815214989,0.3111332092943,HARPS-B,nodata
2453504.71701561,19142.3012017015,0.2996788627322,HARPS-B,nodata
2453509.65380464,19143.5116548455,0.3145556372524,HARPS-B,nodata
2453509.65767035,19143.9796266896,0.2969161564028,HARPS-B,nodata
2453509.66155921,19143.7417360934,0.2816201387297,HARPS-B,nodata
2456043.8313688,19131.9348964927,0.6504709435976,HARPS-B,nodata
2456043.8337184,19132.1540306637,0.6608529297717001,HARPS-B,nodata
2456043.8361143,19132.730004314697,0.6138471222122001,HARPS-B,nodata
2456043.8385102,19132.8769808356,0.6349021423649001,HARPS-B,nodata
2456046.80201165,19129.0966818171,0.6336829238086,HARPS-B,nodata
2456046.80451171,19128.4195288388,0.7336944942315,HARPS-B,nodata
2456046.80680343,19128.0376598023,0.7932999067022,HARPS-B,nodata
2456046.80924561,19129.3277473544,0.6664661394588,HARPS-B,nodata
2456047.77506594,19127.115964098302,0.4930831160811,HARPS-B,nodata
2456047.77745026,19128.8508475998,0.4954190849161,HARPS-B,nodata
2456047.77989244,19129.5672446193,0.4842150011491,HARPS-B,nodata
2456047.7822999,19128.1526811058,0.4749605492805,HARPS-B,nodata
2456048.76755206,19130.9467562192,0.4869543108646,HARPS-B,nodata
2456048.76994794,19129.1851785773,0.5074607112783,HARPS-B,nodata
2456048.77236697,19129.6443809025,0.5088658629593,HARPS-B,nodata
2456048.77473971,19130.7239408432,0.5267467445918,HARPS-B,nodata
2456164.50993197,19124.8459244113,0.7485322215757,HARPS-B,nodata
2456164.51224657,19123.9110242871,0.7164945163794,HARPS-B,nodata
2456164.51466534,19123.8686652458,0.6761782924062,HARPS-B,nodata
2456164.51699152,19124.022513524,0.659361593959,HARPS-B,nodata
2456375.88461062,19125.9749678005,0.3945038693284,HARPS-B,nodata
2456375.88702978,19125.5829088738,0.3981838722317,HARPS-B,nodata
2456375.88939106,19126.194669645694,0.4220364901691,HARPS-B,nodata
2456375.89182179,19126.8044361715,0.4101848001901,HARPS-B,nodata
2456376.87948414,19123.604609772,0.4706155517808,HARPS-B,nodata
2456376.88188014,19124.3740802479,0.4399693200714,HARPS-B,nodata
2456376.88426456,19124.2243254611,0.4341792924103,HARPS-B,nodata
2456376.88667214,19124.2920933696,0.4318477544838,HARPS-B,nodata
2456377.84066215,19123.7227103194,0.4775175508617,HARPS-B,nodata
2456377.84305814,19122.3549793013,0.4919336610238,HARPS-B,nodata
2456377.84545414,19123.764738826503,0.4863180161220999,HARPS-B,nodata
2456377.84788487,19124.2857470786,0.4745348281051,HARPS-B,nodata
2456378.81388859,19119.4801676441,0.4884791017702999,HARPS-B,nodata
2456378.81631931,19121.6184716459,0.5023223949085001,HARPS-B,nodata
2456378.81876161,19119.5209477807,0.4931058274529999,HARPS-B,nodata
2456378.82116918,19119.8835663558,0.4868393602952999,HARPS-B,nodata
2456379.84747684,19121.7117066619,0.4585615961262,HARPS-B,nodata
2456379.84986126,19120.997171645,0.4929541197889,HARPS-B,nodata
2456379.85229198,19121.495430479703,0.4741446288014,HARPS-B,nodata
2456379.85466482,19122.8441281656,0.4873505512316,HARPS-B,nodata
2456380.84945303,19118.8686865808,0.4190165854447999,HARPS-B,nodata
2456380.85184902,19119.0787508975,0.4163659250283,HARPS-B,nodata
2456380.85424501,19119.798097771,0.4188872717283999,HARPS-B,nodata
2456380.85661785,19118.7725310942,0.4241964022405,HARPS-B,nodata
2456381.84963398,19116.9844830165,0.3873710686502,HARPS-B,nodata
2456381.85204154,19119.0956435162,0.3828900545001,HARPS-B,nodata
2456381.85441438,19119.6015904882,0.3721960773532,HARPS-B,nodata
2456381.85683352,19119.2395952023,0.371732383916,HARPS-B,nodata
2456484.62003722,19127.0252921781,0.6439071523888,HARPS-B,nodata
2456484.62232872,19127.9713380641,0.7054026390932,HARPS-B,nodata
2456484.62473594,19125.5085497314,0.6532281312653,HARPS-B,nodata
2456484.62717789,19126.1985662287,0.6021271188859,HARPS-B,nodata
2456485.60439565,19128.711481207494,0.6326831900271,HARPS-B,nodata
2456485.60672186,19128.4725088477,0.5401885299888,HARPS-B,nodata
2456485.60909437,19128.8323912676,0.5095302980195,HARPS-B,nodata
2456485.61147845,19128.1208228582,0.5334025764771,HARPS-B,nodata
2456486.59913441,19127.6867927881,0.466379229333,HARPS-B,nodata
2456486.60151848,19128.7754686345,0.4233464096337,HARPS-B,nodata
2456486.60391413,19127.9430413507,0.4194705935475,HARPS-B,nodata
2456486.60628664,19127.6994257429,0.434068928786,HARPS-B,nodata
2456487.61821074,19130.4704032522,0.4161918063758,HARPS-B,nodata
2456487.62057167,19130.669684915498,0.4044927755349,HARPS-B,nodata
2456487.62296732,19130.7457639793,0.4267055909577,HARPS-B,nodata
2456487.62539768,19129.5000810525,0.4450757107449999,HARPS-B,nodata
2456488.62595612,19131.938800505,0.5128448441904,HARPS-B,nodata
2456488.62835177,19131.8724270652,0.5231660155550001,HARPS-B,nodata
2456488.63074741,19131.9446550976,0.534101020246,HARPS-B,nodata
2456488.6331662,19132.3172739192,0.510785577492,HARPS-B,nodata
2456489.59225724,19137.637812989906,0.5342261927045999,HARPS-B,nodata
2456489.59467603,19138.9350955313,0.5558682186285,HARPS-B,nodata
2456489.59716426,19138.482561054603,0.5291642828758,HARPS-B,nodata
2456489.59953676,19139.019911146,0.5420328136847,HARPS-B,nodata
2456490.61118077,19135.79809749,0.4309836042549,HARPS-B,nodata
2456490.61357641,19136.8471270982,0.4290410729384,HARPS-B,nodata
2456490.61597205,19137.7048182226,0.4334999770463,HARPS-B,nodata
2456490.61833298,19136.683728892694,0.4209335239473,HARPS-B,nodata
2456708.8893226,19137.376000919,0.5524343516159,HARPS-B,nodata
2456708.89171866,19135.3619384671,0.5227081452156,HARPS-B,nodata
2456708.89406841,19136.322175379897,0.5668547191457,HARPS-B,nodata
2456708.89644131,19137.0133441286,0.5359685955823,HARPS-B,nodata
2456711.88217919,19137.672523284506,0.5651464128445,HARPS-B,nodata
2456711.88463312,19137.5386430462,0.57970266163,HARPS-B,nodata
2456711.88702917,19135.8983116182,0.5752966593023,HARPS-B,nodata
2456711.88940208,19135.0212485924,0.5161456562110001,HARPS-B,nodata
2456850.61854662,19134.374935456803,0.7208820383912999,HARPS-B,nodata
2456850.62091913,19136.1361063611,0.7283012356963,HARPS-B,nodata
2456850.6234768,19135.962833481,0.7476825794055,HARPS-B,nodata
2456850.62574515,19134.0992776781,0.7385729412248,HARPS-B,nodata
2456851.62373623,19134.0237188891,0.6608595746306,HARPS-B,nodata
2456851.62610873,19134.5269830706,0.6555902251753,HARPS-B,nodata
2456851.62848123,19135.231267719897,0.6623247237217,HARPS-B,nodata
2456851.63088846,19136.9216645572,0.6940433526244001,HARPS-B,nodata
2456852.61273412,19136.5859720696,0.5954327105393,HARPS-B,nodata
2456852.61503718,19137.7899314118,0.5563038434144,HARPS-B,nodata
2456852.6174907,19137.9726615438,0.5842818300457,HARPS-B,nodata
2456852.61987477,19137.725856668498,0.5487711932989,HARPS-B,nodata
2456855.6115609,19143.3331019033,0.5950674487312,HARPS-B,nodata
2456855.61392182,19144.2004869494,0.6312849630527,HARPS-B,nodata
2456855.61637533,19144.1529818795,0.655499094043,HARPS-B,nodata
2456855.61872468,19142.528771203,0.6004140720711,HARPS-B,nodata
2456856.60261576,19145.3860057472,0.5319482108897,HARPS-B,nodata
2456856.60496511,19145.0656843027,0.5273072367758,HARPS-B,nodata
2456856.60738389,19145.431104982,0.5218002903598,HARPS-B,nodata
2456856.60976796,19144.7019890141,0.5118344996934,HARPS-B,nodata
2457226.59031619,19138.960577844016,0.34163752035187694,HARPS-A,nodata
2457226.59270025,19139.479891037714,0.35586431915167693,HARPS-A,nodata
2457226.5951306,19140.628858415916,0.34422055082747693,HARPS-A,nodata
2457226.59751466,19139.437053737514,0.3443624208725769,HARPS-A,nodata
2457227.56818548,19137.850220799915,0.33763664616097694,HARPS-A,nodata
2457227.57054639,19137.400016497017,0.32124702880047684,HARPS-A,nodata
2457227.57297674,19137.094324255617,0.3349657609650769,HARPS-A,nodata
2457227.5753608,19138.133878211716,0.33714921192717695,HARPS-A,nodata
2457228.57114468,19133.507925446513,0.33667048403707694,HARPS-A,nodata
2457228.57350559,19133.880357672515,0.33309154952357684,HARPS-A,nodata
2457228.57590122,19133.199293258414,0.4352710314622769,HARPS-A,nodata
2457228.57836629,19134.030183774215,0.37811524603147695,HARPS-A,nodata
2457230.58186426,19130.337433378416,0.3394701806977769,HARPS-A,nodata
2457230.58420203,19131.021286255815,0.33121843489807695,HARPS-A,nodata
2457230.58663237,19131.444511580314,0.3307684141393769,HARPS-A,nodata
2457230.58905115,19130.026413901214,0.32770537548967693,HARPS-A,nodata
2457232.54411379,19129.909707197214,0.780211577465377,HARPS-A,nodata
2457232.54674088,19130.916465619615,0.7666344471855769,HARPS-A,nodata
2457232.54898605,19131.940334905816,0.6529419307858769,HARPS-A,nodata
2457232.55116179,19129.690050935915,0.872738760259177,HARPS-A,nodata
2457520.79753924,19129.046999345013,0.724553252008077,HARPS-A,nodata
2457520.79984249,19127.832107762017,1.447714592423777,HARPS-A,nodata
2457520.80246981,19126.439432259314,1.1359600478655771,HARPS-A,nodata
2457520.80435639,19130.019611925916,1.1632454361918771,HARPS-A,nodata
2457587.60321215,19125.385682732514,0.4092873001621769,HARPS-A,nodata
2457587.60557307,19125.182586747516,0.3913399525823769,HARPS-A,nodata
2457587.60793399,19125.321044820415,0.3945463847902769,HARPS-A,nodata
2457587.61035278,19124.858476918715,0.3841015718730769,HARPS-A,nodata
2457807.90951876,19129.952257376415,0.45926934518677687,HARPS-A,nodata
2457807.91190324,19131.408871990516,0.4070215187352769,HARPS-A,nodata
2457807.91426456,19131.255354991918,0.38675984345337694,HARPS-A,nodata
2457807.91666061,19131.469152230417,0.40934986329027695,HARPS-A,nodata
2458622.61201668,19123.816081259014,0.4728827556015769,HARPS-A,nodata
