time,mnvel,errvel,tel,svalue
2455846.6234185,1099.66350552066,1.2315485419223,HARPS-B,nodata
2455850.61947081,1111.1880838279,0.9483122236375,HARPS-B,nodata
2455851.6151798,1110.6905013658,0.9524150161053,HARPS-B,nodata
2455852.60912857,1109.5443297432598,1.2739215426365,HARPS-B,nodata
2456162.72289389,1095.52611745169,3.0902764618095,HARPS-B,nodata
2456164.75946009,1097.22254119687,1.4161564793032,HARPS-B,nodata
2456165.73650219,1094.93652772156,1.3809087753582,HARPS-B,nodata
2456485.82930789,1100.8174969404,1.2351122175241,HARPS-B,nodata
2456486.79215968,1098.34561287974,1.0019411931124,HARPS-B,nodata
2456487.78310255,1103.56467628873,0.9565760880985,HARPS-B,nodata
2456488.81849155,1104.96536902912,1.0581647618532,HARPS-B,nodata
2456489.78224307,1109.9594576284,1.1085040549934,HARPS-B,nodata
2456490.79084577,1107.51033733965,1.2124673664067,HARPS-B,nodata
2456557.82821296,1095.18998775099,3.6539720029825,HARPS-B,nodata
2456558.66776548,1100.0037811828,1.1537697792359,HARPS-B,nodata
2456559.67911591,1105.01173215674,1.3420368524080002,HARPS-B,nodata
2456560.6725258,1102.51635477573,0.9476793726973,HARPS-B,nodata
2456637.53592232,1103.77099371334,0.9086700773189,HARPS-B,nodata
2456638.56644276,1110.45284007446,0.8745870116167,HARPS-B,nodata
2456639.5512964,1110.99521078123,1.0255665487444,HARPS-B,nodata
2456640.55429696,1110.35477128696,1.246242605305,HARPS-B,nodata
2456641.58824427,1107.5170614789,1.4326412313669,HARPS-B,nodata
2456643.54399747,1102.76720514729,1.4724183197126,HARPS-B,nodata
2456850.77574293,1096.18271701607,1.4450261374117,HARPS-B,nodata
2456850.88983606,1096.5565067604598,1.6011916497463,HARPS-B,nodata
2456851.83466603,1094.03827821881,1.0053482890998,HARPS-B,nodata
2456852.80053807,1094.58233634945,1.7553820354355,HARPS-B,nodata
2456853.88458779,1095.7545998678,2.0037051174399,HARPS-B,nodata
2456854.91685066,1102.12520199654,1.2067804379258,HARPS-B,nodata
2456855.82935979,1108.51114730954,1.5388278593153,HARPS-B,nodata
2456855.88576365,1103.37469395306,1.3559843693189,HARPS-B,nodata
2456856.80498514,1105.83860832946,1.2678900476073,HARPS-B,nodata
2456904.67781286,1111.1763807994,1.129814334432,HARPS-B,nodata
2456906.66917013,1098.52829218707,2.3951136341795003,HARPS-B,nodata
2456907.68137984,1097.47766440625,1.2740541251831,HARPS-B,nodata
2456960.64686754,1110.05053956155,1.074065660962,HARPS-B,nodata
2456961.52580155,1113.44230977286,2.1663713522814,HARPS-B,nodata
2456963.55667777,1105.5246187757698,1.3514923140042,HARPS-B,nodata
2456965.58161399,1099.44026434523,0.9279763026553,HARPS-B,nodata
2456966.62830848,1098.99277028635,1.1735228002885,HARPS-B,nodata
2457226.80610024,1103.963598092509,1.1725363613261588,HARPS-A,nodata
2457227.80376872,1103.8433108138693,1.156985485866859,HARPS-A,nodata
2457228.79239615,1101.3599858638393,1.0630321241303586,HARPS-A,nodata
2457229.80823436,1103.953690908989,1.0231107737270588,HARPS-A,nodata
2457230.79829456,1102.897992528439,1.2319532811535587,HARPS-A,nodata
2457232.78242759,1111.7788926738392,1.7735960673810587,HARPS-A,nodata
2457282.80488184,1111.0061550049193,1.5331879339603587,HARPS-A,nodata
2457283.68796988,1108.5854529777992,1.0307489521939588,HARPS-A,nodata
2457587.80744317,1101.261395541149,1.4372285146318586,HARPS-A,nodata
2457588.82342792,1105.7344228480192,1.2083863877286587,HARPS-A,nodata
2457664.72562137,1093.4513853123492,1.4122816759921588,HARPS-A,nodata
2457665.64244855,1095.5907351660592,1.6220444546767587,HARPS-A,nodata
2457764.54629264,1092.7825623449592,1.5177651778879588,HARPS-A,nodata
2458045.62018646,1107.2294187495193,2.275895056345659,HARPS-A,nodata
